[2023-12-18 12:36:40,638] - [INFO] - [websocket open]
[2023-12-18 12:37:47,359] - [INFO] - [websocket open]
[2023-12-18 12:37:48,252] - [ERROR] - [now status is WebsocketStatus.STATE_START receive error resp {"resp_type":"ERROR","trace_id":"90147eca-772d-4980-845b-5dc7e9bdd341","error_code":"SIS.0032","error_msg":"audio size out range"}]
[2023-12-18 12:37:48,376] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,440] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,504] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,567] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,632] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,696] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,760] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,824] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,888] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:48,953] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,017] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,080] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,144] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,208] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,272] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,336] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,401] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,465] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,529] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,592] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,656] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,720] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,784] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,848] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,913] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:49,977] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,041] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,105] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,169] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,233] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,297] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,361] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,426] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,490] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,554] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,617] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,681] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,745] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,809] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,873] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:50,938] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,002] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,065] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,129] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,193] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,257] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,321] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,385] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,450] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,514] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,577] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,641] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,706] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,770] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,834] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,899] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:51,963] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,027] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,090] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,154] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,218] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,282] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,346] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,411] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,475] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,539] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,602] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,666] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,730] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,794] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,858] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,923] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:52,987] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,051] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,114] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,178] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,243] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,307] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,371] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,436] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,500] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,563] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,627] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,691] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,755] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,819] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,883] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:53,948] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,012] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
[2023-12-18 12:37:54,075] - [WARNING] - [status WebsocketStatus.STATE_END can't send binary data]
